Date,Crash,Autumn,Winter,Spring,Weekend,Rained,Day,Attendance_number
2012-01-01,1,0,0,0,1,0.0,6,0.0
2012-01-02,1,0,0,0,0,0.0,0,0.0
2012-01-03,1,0,0,0,0,0.0,1,0.0
2012-01-04,0,0,0,0,0,0.0,2,0.0
2012-01-05,0,0,0,0,0,0.0,3,0.0
2012-01-06,1,0,0,0,0,1.0,4,0.0
2012-01-07,0,0,0,0,1,0.0,5,0.0
2012-01-08,1,0,0,0,1,0.0,6,0.0
2012-01-09,0,0,0,0,0,1.0,0,0.0
2012-01-10,1,0,0,0,0,0.0,1,0.0
2012-01-11,0,0,0,0,0,0.0,2,0.0
2012-01-12,1,0,0,0,0,0.0,3,0.0
2012-01-13,1,0,0,0,0,0.0,4,0.0
2012-01-14,0,0,0,0,1,0.0,5,0.0
2012-01-15,1,0,0,0,1,1.0,6,0.0
2012-01-16,1,0,0,0,0,1.0,0,0.0
2012-01-17,0,0,0,0,0,1.0,1,0.0
2012-01-18,1,0,0,0,0,0.0,2,0.0
2012-01-19,1,0,0,0,0,0.0,3,0.0
2012-01-20,0,0,0,0,0,0.0,4,0.0
2012-01-21,0,0,0,0,1,0.0,5,0.0
2012-01-22,1,0,0,0,1,1.0,6,0.0
2012-01-23,1,0,0,0,0,1.0,0,0.0
2012-01-24,1,0,0,0,0,0.0,1,0.0
2012-01-25,1,0,0,0,0,1.0,2,38.0
2012-01-26,0,0,0,0,0,1.0,3,0.0
2012-01-27,1,0,0,0,0,1.0,4,0.0
2012-01-28,0,0,0,0,1,1.0,5,0.0
2012-01-29,1,0,0,0,1,0.0,6,0.0
2012-01-30,1,0,0,0,0,1.0,0,0.0
2012-01-31,1,0,0,0,0,0.0,1,0.0
2012-02-01,1,0,0,0,0,1.0,2,0.0
2012-02-02,1,0,0,0,0,1.0,3,0.0
2012-02-03,1,0,0,0,0,1.0,4,0.0
2012-02-04,1,0,0,0,1,1.0,5,175.0
2012-02-05,0,0,0,0,1,0.0,6,0.0
2012-02-06,0,0,0,0,0,0.0,0,0.0
2012-02-07,1,0,0,0,0,1.0,1,0.0
2012-02-08,1,0,0,0,0,1.0,2,0.0
2012-02-09,1,0,0,0,0,1.0,3,0.0
2012-02-10,0,0,0,0,0,1.0,4,0.0
2012-02-11,1,0,0,0,1,1.0,5,0.0
2012-02-12,1,0,0,0,1,1.0,6,1562.0
2012-02-13,0,0,0,0,0,1.0,0,0.0
2012-02-14,0,0,0,0,0,0.0,1,0.0
2012-02-15,1,0,0,0,0,1.0,2,0.0
2012-02-16,1,0,0,0,0,0.0,3,0.0
2012-02-17,1,0,0,0,0,0.0,4,0.0
2012-02-18,1,0,0,0,1,1.0,5,0.0
2012-02-19,1,0,0,0,1,0.0,6,0.0
2012-02-20,1,0,0,0,0,1.0,0,0.0
2012-02-21,0,0,0,0,0,1.0,1,0.0
2012-02-22,1,0,0,0,0,0.0,2,0.0
2012-02-23,1,0,0,0,0,0.0,3,0.0
2012-02-24,1,0,0,0,0,0.0,4,0.0
2012-02-25,1,0,0,0,1,0.0,5,511.0
2012-02-26,0,0,0,0,1,1.0,6,0.0
2012-02-27,1,0,0,0,0,1.0,0,0.0
2012-02-28,1,0,0,0,0,1.0,1,0.0
2012-02-29,1,0,0,0,0,0.0,2,0.0
2012-03-01,1,1,0,0,0,1.0,3,0.0
2012-03-02,0,1,0,0,0,1.0,4,126.0
2012-03-03,0,1,0,0,1,1.0,5,2929.0
2012-03-04,0,1,0,0,1,1.0,6,0.0
2012-03-05,0,1,0,0,0,1.0,0,0.0
2012-03-06,0,1,0,0,0,1.0,1,0.0
2012-03-07,1,1,0,0,0,0.0,2,0.0
2012-03-08,1,1,0,0,0,1.0,3,0.0
2012-03-09,1,1,0,0,0,1.0,4,0.0
2012-03-10,0,1,0,0,1,0.0,5,0.0
2012-03-11,0,1,0,0,1,0.0,6,0.0
2012-03-12,0,1,0,0,0,0.0,0,0.0
2012-03-13,1,1,0,0,0,0.0,1,0.0
2012-03-14,1,1,0,0,0,0.0,2,0.0
2012-03-15,1,1,0,0,0,0.0,3,0.0
2012-03-16,1,1,0,0,0,0.0,4,0.0
2012-03-17,1,1,0,0,1,1.0,5,0.0
2012-03-18,1,1,0,0,1,1.0,6,0.0
2012-03-19,1,1,0,0,0,1.0,0,0.0
2012-03-20,1,1,0,0,0,1.0,1,0.0
2012-03-21,1,1,0,0,0,1.0,2,0.0
2012-03-22,1,1,0,0,0,1.0,3,0.0
2012-03-23,1,1,0,0,0,1.0,4,0.0
2012-03-24,1,1,0,0,1,0.0,5,0.0
2012-03-25,0,1,0,0,1,1.0,6,0.0
2012-03-26,1,1,0,0,0,1.0,0,0.0
2012-03-27,1,1,0,0,0,1.0,1,0.0
2012-03-28,1,1,0,0,0,0.0,2,0.0
2012-03-29,1,1,0,0,0,1.0,3,0.0
2012-03-30,1,1,0,0,0,1.0,4,0.0
2012-03-31,1,1,0,0,1,0.0,5,0.0
2012-04-01,0,1,0,0,1,0.0,6,0.0
2012-04-02,1,1,0,0,0,1.0,0,0.0
2012-04-03,0,1,0,0,0,0.0,1,0.0
2012-04-04,0,1,0,0,0,0.0,2,0.0
2012-04-05,1,1,0,0,0,0.0,3,0.0
2012-04-06,1,1,0,0,0,0.0,4,0.0
2012-04-07,1,1,0,0,1,0.0,5,0.0
2012-04-08,1,1,0,0,1,0.0,6,0.0
2012-04-09,0,1,0,0,0,1.0,0,0.0
2012-04-10,1,1,0,0,0,0.0,1,0.0
2012-04-11,1,1,0,0,0,0.0,2,0.0
2012-04-12,1,1,0,0,0,1.0,3,0.0
2012-04-13,1,1,0,0,0,1.0,4,0.0
2012-04-14,0,1,0,0,1,0.0,5,0.0
2012-04-15,1,1,0,0,1,0.0,6,0.0
2012-04-16,1,1,0,0,0,0.0,0,0.0
2012-04-17,1,1,0,0,0,1.0,1,0.0
2012-04-18,1,1,0,0,0,1.0,2,0.0
2012-04-19,0,1,0,0,0,1.0,3,0.0
2012-04-20,1,1,0,0,0,1.0,4,0.0
2012-04-21,1,1,0,0,1,1.0,5,0.0
2012-04-22,0,1,0,0,1,0.0,6,0.0
2012-04-23,0,1,0,0,0,1.0,0,0.0
2012-04-24,1,1,0,0,0,1.0,1,0.0
2012-04-25,0,1,0,0,0,1.0,2,0.0
2012-04-26,0,1,0,0,0,0.0,3,0.0
2012-04-27,1,1,0,0,0,0.0,4,0.0
2012-04-28,0,1,0,0,1,0.0,5,0.0
2012-04-29,0,1,0,0,1,0.0,6,0.0
2012-04-30,1,1,0,0,0,0.0,0,0.0
2012-05-01,0,1,0,0,0,0.0,1,0.0
2012-05-02,1,1,0,0,0,0.0,2,0.0
2012-05-03,1,1,0,0,0,1.0,3,0.0
2012-05-04,1,1,0,0,0,0.0,4,0.0
2012-05-05,0,1,0,0,1,0.0,5,0.0
2012-05-06,0,1,0,0,1,0.0,6,0.0
2012-05-07,1,1,0,0,0,0.0,0,0.0
2012-05-08,1,1,0,0,0,0.0,1,0.0
2012-05-09,1,1,0,0,0,0.0,2,0.0
2012-05-10,1,1,0,0,0,0.0,3,0.0
2012-05-11,0,1,0,0,0,0.0,4,0.0
2012-05-12,1,1,0,0,1,0.0,5,0.0
2012-05-13,1,1,0,0,1,0.0,6,0.0
2012-05-14,1,1,0,0,0,0.0,0,0.0
2012-05-15,0,1,0,0,0,0.0,1,0.0
2012-05-16,1,1,0,0,0,0.0,2,0.0
2012-05-17,0,1,0,0,0,0.0,3,0.0
2012-05-18,0,1,0,0,0,0.0,4,0.0
2012-05-19,1,1,0,0,1,1.0,5,0.0
2012-05-20,1,1,0,0,1,0.0,6,0.0
2012-05-21,1,1,0,0,0,1.0,0,0.0
2012-05-22,1,1,0,0,0,0.0,1,0.0
2012-05-23,1,1,0,0,0,0.0,2,0.0
2012-05-24,1,1,0,0,0,0.0,3,0.0
2012-05-25,1,1,0,0,0,1.0,4,0.0
2012-05-26,1,1,0,0,1,0.0,5,54.0
2012-05-27,0,1,0,0,1,0.0,6,0.0
2012-05-28,1,1,0,0,0,0.0,0,0.0
2012-05-29,1,1,0,0,0,1.0,1,0.0
2012-05-30,1,1,0,0,0,1.0,2,0.0
2012-05-31,1,0,1,0,0,1.0,3,0.0
2012-06-01,1,0,1,0,0,1.0,4,0.0
2012-06-02,1,0,1,0,1,1.0,5,0.0
2012-06-03,1,0,1,0,1,1.0,6,0.0
2012-06-04,1,0,1,0,0,1.0,0,0.0
2012-06-05,1,0,1,0,0,1.0,1,0.0
2012-06-06,1,0,1,0,0,1.0,2,0.0
2012-06-07,0,0,1,0,0,1.0,3,0.0
2012-06-08,1,0,1,0,0,1.0,4,0.0
2012-06-09,1,0,1,0,1,0.0,5,0.0
2012-06-10,0,0,1,0,1,1.0,6,91.0
2012-06-11,1,0,1,0,0,1.0,0,0.0
2012-06-12,0,0,1,0,0,1.0,1,0.0
2012-06-13,0,0,1,0,0,1.0,2,0.0
2012-06-14,1,0,1,0,0,1.0,3,0.0
2012-06-15,0,0,1,0,0,1.0,4,0.0
2012-06-16,1,0,1,0,1,1.0,5,0.0
2012-06-17,1,0,1,0,1,1.0,6,0.0
2012-06-18,0,0,1,0,0,1.0,0,11.0
2012-06-19,1,0,1,0,0,0.0,1,0.0
2012-06-20,0,0,1,0,0,0.0,2,0.0
2012-06-21,1,0,1,0,0,0.0,3,0.0
2012-06-22,1,0,1,0,0,0.0,4,0.0
2012-06-23,1,0,1,0,1,0.0,5,0.0
2012-06-24,0,0,1,0,1,0.0,6,0.0
2012-06-25,1,0,1,0,0,0.0,0,0.0
2012-06-26,1,0,1,0,0,1.0,1,0.0
2012-06-27,1,0,1,0,0,1.0,2,0.0
